Competicao;Mandante;Visitante;Resultado;Gestao
Campeonato Brasileiro Série A;São Paulo;Botafogo;3:0;Carlos Miguel Aidar (2014-2015)
Copa do Brasil;CRB;São Paulo;2:1;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Cruzeiro;São Paulo;1:1;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;São Paulo;Coritiba;2:2;Carlos Miguel Aidar (2014-2015)
Copa do Brasil;São Paulo;CRB;3:0;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;São Paulo;Corinthians;1:1;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Flamengo;São Paulo;0:2;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Fluminense;São Paulo;5:2;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;São Paulo;Grêmio;1:0;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Atlético-PR;São Paulo;2:2;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;São Paulo;Atlético-MG;2:1;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Bahia;São Paulo;0:2;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;São Paulo;Chapecoense;0:1;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Goiás;São Paulo;2:1;Carlos Miguel Aidar (2014-2015)
Copa do Brasil;Bragantino;São Paulo;1:2;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;São Paulo;Criciúma;1:1;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;São Paulo;Vitória;3:1;Carlos Miguel Aidar (2014-2015)
Copa do Brasil;São Paulo;Bragantino;1:3;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Palmeiras;São Paulo;1:2;Carlos Miguel Aidar (2014-2015)
