Time da casa;Time da casa.1;Time visitante;Time visitante.1;Resultado;Unnamed: 11;Unnamed: 12;REF_GESTAO
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;São Paulo (2.);;Botafogo (19.);3:0;;;Carlos Miguel Aidar (2014-2015)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Carlos Miguel Aidar (2014-2015)
;CRB;;São Paulo;2:1;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;Cruzeiro (3.);;São Paulo (1.);1:1;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (2.);;Coritiba (13.);2:2;;;Carlos Miguel Aidar (2014-2015)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Carlos Miguel Aidar (2014-2015)
;São Paulo;;CRB;3:0;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;São Paulo (7.);;Corinthians (1.);1:1;;;Carlos Miguel Aidar (2014-2015)
;Flamengo (16.);;São Paulo (10.);0:2;;;Carlos Miguel Aidar (2014-2015)
;Fluminense (6.);;São Paulo (8.);5:2;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (9.);;Grêmio (2.);1:0;;;Carlos Miguel Aidar (2014-2015)
;Atlético-PR (11.);;São Paulo (7.);2:2;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (8.);;Atlético-MG (6.);2:1;;;Carlos Miguel Aidar (2014-2015)
;Bahia (16.);;São Paulo (3.);0:2;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (2.);;Chapecoense (15.);0:1;;;Carlos Miguel Aidar (2014-2015)
;Goiás (10.);;São Paulo (6.);2:1;;;Carlos Miguel Aidar (2014-2015)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Carlos Miguel Aidar (2014-2015)
;Bragantino;;São Paulo;1:2;;;Carlos Miguel Aidar (2014-2015)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Carlos Miguel Aidar (2014-2015)
;São Paulo (8.);;Criciúma (13.);1:1;;;Carlos Miguel Aidar (2014-2015)
;São Paulo (7.);;Vitória (16.);3:1;;;Carlos Miguel Aidar (2014-2015)
