Competicao;Mandante;Visitante;Resultado;Gestao;Gols_Pro;Gols_Contra;Status_Jogo
Campeonato Brasileiro Série A;Bragantino;São Paulo;4:2;Julio Casares (2021-Presente);2;4;Derrota
Campeonato Brasileiro Série A;São Paulo;Santos;0:1;Julio Casares (2021-Presente);0;1;Derrota
Campeonato Brasileiro Série A;Athletico-PR;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Brasileiro Série A;São Paulo;Internacional;1:5;Julio Casares (2021-Presente);1;5;Derrota
Campeonato Brasileiro Série A;São Paulo;Coritiba;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Brasileiro Série A;Atlético-GO;São Paulo;2:1;Julio Casares (2021-Presente);1;2;Derrota
Campeonato Brasileiro Série A;São Paulo;Ceará;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Brasileiro Série A;Grêmio;São Paulo;1:2;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Brasileiro Série A;São Paulo;Palmeiras;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Brasileiro Série A;Botafogo;São Paulo;1:0;Julio Casares (2021-Presente);0;1;Derrota
Campeonato Brasileiro Série A;São Paulo;Flamengo;2:1;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Paulista;São Paulo;Botafogo-SP;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Paulista;Inter Limeira;São Paulo;0:4;Julio Casares (2021-Presente);4;0;Vitória
Campeonato Paulista;São Paulo;Santos;4:0;Julio Casares (2021-Presente);4;0;Vitória
Campeonato Paulista;Novorizontino;São Paulo;2:1;Julio Casares (2021-Presente);1;2;Derrota
Campeonato Paulista;São Paulo;São Caetano;5:1;Julio Casares (2021-Presente);5;1;Vitória
Campeonato Paulista;São Paulo;Bragantino;1:0;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Paulista;São Paulo;Guarani;3:2;Julio Casares (2021-Presente);3;2;Vitória
Campeonato Paulista;Palmeiras;São Paulo;0:1;Julio Casares (2021-Presente);1;0;Vitória
Copa Libertadores;Sport. Cristal;São Paulo;0:3;Julio Casares (2021-Presente);3;0;Vitória
Campeonato Paulista;São Paulo;Santo André;2:0;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Paulista;Ituano;São Paulo;0:3;Julio Casares (2021-Presente);3;0;Vitória
Copa Libertadores;São Paulo;Rentistas;2:0;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Paulista;Corinthians;São Paulo;2:2;Julio Casares (2021-Presente);2;2;Empate
Copa Libertadores;Racing;São Paulo;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Paulista;Mirassol;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Copa Libertadores;Rentistas;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Paulista - Série A1 - Fase final;São Paulo;Ferroviária;4:2;Julio Casares (2021-Presente);4;2;Vitória
Campeonato Paulista - Série A1 - Fase final;São Paulo;Mirassol;4:0;Julio Casares (2021-Presente);4;0;Vitória
Copa Libertadores;São Paulo;Racing;0:1;Julio Casares (2021-Presente);0;1;Derrota
Campeonato Paulista - Série A1 - Fase final;Palmeiras;São Paulo;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Paulista - Série A1 - Fase final;São Paulo;Palmeiras;2:0;Julio Casares (2021-Presente);2;0;Vitória
Copa Libertadores;São Paulo;Sport. Cristal;3:0;Julio Casares (2021-Presente);3;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Fluminense;0:0;Julio Casares (2021-Presente);0;0;Empate
Copa do Brasil;4 de Julho;São Paulo;3:2;Julio Casares (2021-Presente);2;3;Derrota
Campeonato Brasileiro Série A;Atlético-GO;São Paulo;2:0;Julio Casares (2021-Presente);0;2;Derrota
Copa do Brasil;São Paulo;4 de Julho;9:1;Julio Casares (2021-Presente);9;1;Vitória
Campeonato Brasileiro Série A;Atlético-MG;São Paulo;1:0;Julio Casares (2021-Presente);0;1;Derrota
Campeonato Brasileiro Série A;São Paulo;Chapecoense;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Brasileiro Série A;Santos;São Paulo;2:0;Julio Casares (2021-Presente);0;2;Derrota
Campeonato Brasileiro Série A;São Paulo;Cuiabá;2:2;Julio Casares (2021-Presente);2;2;Empate
Campeonato Brasileiro Série A;Ceará;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Campeonato Brasileiro Série A;Corinthians;São Paulo;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Brasileiro Série A;São Paulo;Bragantino;1:2;Julio Casares (2021-Presente);1;2;Derrota
Campeonato Brasileiro Série A;Internacional;São Paulo;0:2;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Bahia;1:0;Julio Casares (2021-Presente);1;0;Vitória
Copa Libertadores;São Paulo;Racing;1:1;Julio Casares (2021-Presente);1;1;Empate
