Time da casa;Time da casa.1;Time visitante;Time visitante.1;Resultado;Unnamed: 11;Unnamed: 12;REF_GESTAO
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;Bragantino (13.);;São Paulo (1.);4:2;;;Julio Casares (2021-Presente)
;São Paulo (1.);;Santos (8.);0:1;;;Julio Casares (2021-Presente)
;Athletico-PR (11.);;São Paulo (1.);1:1;;;Julio Casares (2021-Presente)
;São Paulo (1.);;Internacional (3.);1:5;;;Julio Casares (2021-Presente)
;São Paulo (4.);;Coritiba (18.);1:1;;;Julio Casares (2021-Presente)
;Atlético-GO (13.);;São Paulo (3.);2:1;;;Julio Casares (2021-Presente)
;São Paulo (4.);;Ceará (12.);1:1;;;Julio Casares (2021-Presente)
;Grêmio (6.);;São Paulo (4.);1:2;;;Julio Casares (2021-Presente)
;São Paulo (4.);;Palmeiras (6.);1:1;;;Julio Casares (2021-Presente)
;Botafogo (20.);;São Paulo (3.);1:0;;;Julio Casares (2021-Presente)
;São Paulo (4.);;Flamengo (1.);2:1;;;Julio Casares (2021-Presente)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Julio Casares (2021-Presente)
;São Paulo;;Botafogo-SP;1:1;;;Julio Casares (2021-Presente)
;Inter Limeira;;São Paulo;0:4;;;Julio Casares (2021-Presente)
;São Paulo;;Santos;4:0;;;Julio Casares (2021-Presente)
;Novorizontino;;São Paulo;2:1;;;Julio Casares (2021-Presente)
;São Paulo;;São Caetano;5:1;;;Julio Casares (2021-Presente)
;São Paulo;;Bragantino;1:0;;;Julio Casares (2021-Presente)
;São Paulo;;Guarani;3:2;;;Julio Casares (2021-Presente)
;Palmeiras;;São Paulo;0:1;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
;Sport. Cristal;;São Paulo;0:3;;;Julio Casares (2021-Presente)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Julio Casares (2021-Presente)
;São Paulo;;Santo André;2:0;;;Julio Casares (2021-Presente)
;Ituano;;São Paulo;0:3;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
;São Paulo;;Rentistas;2:0;;;Julio Casares (2021-Presente)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Julio Casares (2021-Presente)
;Corinthians;;São Paulo;2:2;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
;Racing;;São Paulo;0:0;;;Julio Casares (2021-Presente)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Julio Casares (2021-Presente)
;Mirassol;;São Paulo;1:1;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
;Rentistas;;São Paulo;1:1;;;Julio Casares (2021-Presente)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Julio Casares (2021-Presente)
;São Paulo;;Ferroviária;4:2;;;Julio Casares (2021-Presente)
;São Paulo;;Mirassol;4:0;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
;São Paulo;;Racing;0:1;;;Julio Casares (2021-Presente)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Julio Casares (2021-Presente)
;Palmeiras;;São Paulo;0:0;;;Julio Casares (2021-Presente)
;São Paulo;;Palmeiras;2:0;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
;São Paulo;;Sport. Cristal;3:0;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;São Paulo (13.);;Fluminense (7.);0:0;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
;4 de Julho;;São Paulo;3:2;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;Atlético-GO (6.);;São Paulo (13.);2:0;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
;São Paulo;;4 de Julho;9:1;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;Atlético-MG (9.);;São Paulo (16.);1:0;;;Julio Casares (2021-Presente)
;São Paulo (18.);;Chapecoense (19.);1:1;;;Julio Casares (2021-Presente)
;Santos (14.);;São Paulo (16.);2:0;;;Julio Casares (2021-Presente)
;São Paulo (19.);;Cuiabá (11.);2:2;;;Julio Casares (2021-Presente)
;Ceará (12.);;São Paulo (18.);1:1;;;Julio Casares (2021-Presente)
;Corinthians (11.);;São Paulo (18.);0:0;;;Julio Casares (2021-Presente)
;São Paulo (19.);;Bragantino (1.);1:2;;;Julio Casares (2021-Presente)
;Internacional (14.);;São Paulo (19.);0:2;;;Julio Casares (2021-Presente)
;São Paulo (17.);;Bahia (6.);1:0;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
;São Paulo;;Racing;1:1;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;São Paulo (14.);;Fortaleza (4.);0:1;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
;Racing;;São Paulo;1:3;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;Flamengo (6.);;São Paulo (16.);5:1;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
;São Paulo;;Vasco da Gama;2:0;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;São Paulo (18.);;Palmeiras (1.);0:0;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
;Vasco da Gama;;São Paulo;1:2;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;Athletico-PR (6.);;São Paulo (17.);1:2;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
;São Paulo;;Palmeiras;1:1;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;São Paulo (16.);;Grêmio (17.);2:1;;;Julio Casares (2021-Presente)
Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Copa Libertadores;Julio Casares (2021-Presente)
;Palmeiras;;São Paulo;3:0;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;Sport (17.);;São Paulo (15.);0:1;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
;São Paulo;;Fortaleza;2:2;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;Juventude (12.);;São Paulo (13.);1:1;;;Julio Casares (2021-Presente)
;Fluminense (8.);;São Paulo (14.);2:1;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
;Fortaleza;;São Paulo;3:1;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;São Paulo (15.);;Atlético-GO (10.);2:1;;;Julio Casares (2021-Presente)
;São Paulo (14.);;América-MG (17.);0:0;;;Julio Casares (2021-Presente)
;São Paulo (11.);;Atlético-MG (1.);0:0;;;Julio Casares (2021-Presente)
;Chapecoense (20.);;São Paulo (12.);1:1;;;Julio Casares (2021-Presente)
;São Paulo (13.);;Santos (16.);1:1;;;Julio Casares (2021-Presente)
;Cuiabá (12.);;São Paulo (14.);0:0;;;Julio Casares (2021-Presente)
;São Paulo (15.);;Ceará (14.);1:1;;;Julio Casares (2021-Presente)
;São Paulo (15.);;Corinthians (7.);1:0;;;Julio Casares (2021-Presente)
;Bragantino (5.);;São Paulo (12.);1:0;;;Julio Casares (2021-Presente)
;São Paulo (13.);;Internacional (6.);1:0;;;Julio Casares (2021-Presente)
;Bahia (16.);;São Paulo (12.);1:0;;;Julio Casares (2021-Presente)
;Fortaleza (4.);;São Paulo (14.);1:1;;;Julio Casares (2021-Presente)
;São Paulo (15.);;Flamengo (3.);0:4;;;Julio Casares (2021-Presente)
;Palmeiras (3.);;São Paulo (15.);0:2;;;Julio Casares (2021-Presente)
;São Paulo (14.);;Athletico-PR (13.);0:0;;;Julio Casares (2021-Presente)
;São Paulo (16.);;Sport (19.);2:0;;;Julio Casares (2021-Presente)
;Grêmio (18.);;São Paulo (14.);3:0;;;Julio Casares (2021-Presente)
;São Paulo (14.);;Juventude (15.);3:1;;;Julio Casares (2021-Presente)
;América-MG (8.);;São Paulo (13.);2:0;;;Julio Casares (2021-Presente)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Julio Casares (2021-Presente)
;Guarani;;São Paulo;2:1;;;Julio Casares (2021-Presente)
;São Paulo;;Ituano;0:0;;;Julio Casares (2021-Presente)
;Bragantino;;São Paulo;4:3;;;Julio Casares (2021-Presente)
;São Paulo;;Santo André;1:0;;;Julio Casares (2021-Presente)
;Ponte Preta;;São Paulo;1:2;;;Julio Casares (2021-Presente)
;São Paulo;;Inter Limeira;0:0;;;Julio Casares (2021-Presente)
;Santos;;São Paulo;0:3;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
;Campinense;;São Paulo;0:0;;;Julio Casares (2021-Presente)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Julio Casares (2021-Presente)
;Água Santa;;São Paulo;1:2;;;Julio Casares (2021-Presente)
;São Paulo;;Corinthians;1:0;;;Julio Casares (2021-Presente)
;São Paulo;;Palmeiras;0:1;;;Julio Casares (2021-Presente)
;Mirassol;;São Paulo;0:3;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
;São Paulo;;Manaus;2:0;;;Julio Casares (2021-Presente)
Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Campeonato Paulista;Julio Casares (2021-Presente)
;São Paulo;;Botafogo-SP;2:1;;;Julio Casares (2021-Presente)
Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Campeonato Paulista - Série A1 - Fase final;Julio Casares (2021-Presente)
;São Paulo;;São Bernardo;4:1;;;Julio Casares (2021-Presente)
;São Paulo;;Corinthians;2:1;;;Julio Casares (2021-Presente)
;São Paulo;;Palmeiras;3:1;;;Julio Casares (2021-Presente)
;Palmeiras;;São Paulo;4:0;;;Julio Casares (2021-Presente)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Julio Casares (2021-Presente)
;Ayacucho FC;;São Paulo;2:3;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;São Paulo (9.);;Athletico-PR (6.);4:0;;;Julio Casares (2021-Presente)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Julio Casares (2021-Presente)
;São Paulo;;Everton;2:0;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;Flamengo (11.);;São Paulo (1.);3:1;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
;Juventude;;São Paulo;2:2;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;Bragantino (3.);;São Paulo (7.);1:1;;;Julio Casares (2021-Presente)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Julio Casares (2021-Presente)
;Wilstermann;;São Paulo;1:3;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;São Paulo (10.);;Santos (1.);2:1;;;Julio Casares (2021-Presente)
Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Copa Sul-Americana;Julio Casares (2021-Presente)
;Everton;;São Paulo;0:0;;;Julio Casares (2021-Presente)
Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Campeonato Brasileiro Série A;Julio Casares (2021-Presente)
;Fortaleza (20.);;São Paulo (5.);1:1;;;Julio Casares (2021-Presente)
Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Copa do Brasil;Julio Casares (2021-Presente)
