Competicao;Mandante;Visitante;Resultado;Gestao;Gols_Pro;Gols_Contra;Status_Jogo
Campeonato Paulista;Santo André;São Paulo;1:0;Juvenal Juvêncio (2006-2014);0;1;Derrota
Campeonato Paulista;São Paulo;Juventus-SP;0:1;Juvenal Juvêncio (2006-2014);0;1;Derrota
Campeonato Paulista;Bragantino;São Paulo;3:3;Juvenal Juvêncio (2006-2014);3;3;Empate
Copa Libertadores;Caracas FC;São Paulo;1:2;Juvenal Juvêncio (2006-2014);2;1;Vitória
Copa Libertadores;São Paulo;Cienciano;4:1;Juvenal Juvêncio (2006-2014);4;1;Vitória
Copa Libertadores;Chivas;São Paulo;2:1;Juvenal Juvêncio (2006-2014);1;2;Derrota
Copa Libertadores;São Paulo;Chivas;1:2;Juvenal Juvêncio (2006-2014);1;2;Derrota
Copa Libertadores;Cienciano;São Paulo;0:2;Juvenal Juvêncio (2006-2014);2;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Flamengo;1:0;Juvenal Juvêncio (2006-2014);1;0;Vitória
Copa Libertadores;São Paulo;Caracas FC;2:0;Juvenal Juvêncio (2006-2014);2;0;Vitória
Campeonato Brasileiro Série A;Fortaleza;São Paulo;1:0;Juvenal Juvêncio (2006-2014);0;1;Derrota
Copa Libertadores;Palmeiras;São Paulo;1:1;Juvenal Juvêncio (2006-2014);1;1;Empate
Campeonato Brasileiro Série A;São Paulo;Santa Cruz;4:0;Juvenal Juvêncio (2006-2014);4;0;Vitória
Copa Libertadores;São Paulo;Palmeiras;2:1;Juvenal Juvêncio (2006-2014);2;1;Vitória
Campeonato Brasileiro Série A;Corinthians;São Paulo;1:3;Juvenal Juvêncio (2006-2014);3;1;Vitória
Copa Libertadores;Estudiantes LP;São Paulo;1:0;Juvenal Juvêncio (2006-2014);0;1;Derrota
Campeonato Brasileiro Série A;Internacional;São Paulo;3:1;Juvenal Juvêncio (2006-2014);1;3;Derrota
Campeonato Brasileiro Série A;São Paulo;São Caetano;1:0;Juvenal Juvêncio (2006-2014);1;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Palmeiras;4:1;Juvenal Juvêncio (2006-2014);4;1;Vitória
Campeonato Brasileiro Série A;Vasco da Gama;São Paulo;1:1;Juvenal Juvêncio (2006-2014);1;1;Empate
Campeonato Brasileiro Série A;São Paulo;Fluminense;1:0;Juvenal Juvêncio (2006-2014);1;0;Vitória
Campeonato Brasileiro Série A;Juventude;São Paulo;1:1;Juvenal Juvêncio (2006-2014);1;1;Empate
Campeonato Brasileiro Série A;São Paulo;Grêmio;2:1;Juvenal Juvêncio (2006-2014);2;1;Vitória
