Competicao;Mandante;Visitante;Resultado;Gestao
Campeonato Brasileiro Série A;Fluminense;São Paulo;2:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Vasco da Gama;2:2;Leco (2015-2020)
Copa do Brasil;São Paulo;Santos;1:3;Leco (2015-2020)
Campeonato Brasileiro Série A;Coritiba;São Paulo;1:2;Leco (2015-2020)
Copa do Brasil;Santos;São Paulo;3:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Sport;3:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Cruzeiro;São Paulo;2:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Atlético-MG;4:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Corinthians;São Paulo;6:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Figueirense;3:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Goiás;São Paulo;0:1;Leco (2015-2020)
Campeonato Paulista;RB Brasil;São Paulo;1:1;Leco (2015-2020)
Copa Libertadores;César Vallejo;São Paulo;1:1;Leco (2015-2020)
Campeonato Paulista;São Paulo;Água Santa;4:0;Leco (2015-2020)
Copa Libertadores;São Paulo;César Vallejo;1:0;Leco (2015-2020)
Campeonato Paulista;Corinthians;São Paulo;2:0;Leco (2015-2020)
Copa Libertadores;São Paulo;The Strongest;0:1;Leco (2015-2020)
Campeonato Paulista;São Paulo;Rio Claro;1:0;Leco (2015-2020)
Campeonato Paulista;São Paulo;Novorizontino;2:0;Leco (2015-2020)
Campeonato Paulista;Ponte Preta;São Paulo;1:0;Leco (2015-2020)
Campeonato Paulista;São Paulo;Mogi Mirim;2:0;Leco (2015-2020)
Campeonato Paulista;São Paulo;São Bernardo;1:3;Leco (2015-2020)
Copa Libertadores;River Plate;São Paulo;1:1;Leco (2015-2020)
Campeonato Paulista;São Paulo;Palmeiras;0:2;Leco (2015-2020)
Copa Libertadores;Trujillanos;São Paulo;1:1;Leco (2015-2020)
Campeonato Paulista;Ituano;São Paulo;1:1;Leco (2015-2020)
Campeonato Paulista;São Paulo;Botafogo-SP;1:0;Leco (2015-2020)
Campeonato Paulista;Santos;São Paulo;1:1;Leco (2015-2020)
Campeonato Paulista;Linense;São Paulo;1:1;Leco (2015-2020)
Campeonato Paulista;São Paulo;Oeste;2:1;Leco (2015-2020)
Copa Libertadores;São Paulo;Trujillanos;6:0;Leco (2015-2020)
Campeonato Paulista;São Bento;São Paulo;1:0;Leco (2015-2020)
Copa Libertadores;São Paulo;River Plate;2:1;Leco (2015-2020)
Campeonato Paulista - Série A1 - Fase final;GO Audax;São Paulo;4:1;Leco (2015-2020)
Copa Libertadores;The Strongest;São Paulo;1:1;Leco (2015-2020)
Copa Libertadores;São Paulo;Toluca;4:0;Leco (2015-2020)
Copa Libertadores;Toluca;São Paulo;3:1;Leco (2015-2020)
Copa Libertadores;São Paulo;Atlético-MG;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Botafogo;São Paulo;0:1;Leco (2015-2020)
Copa Libertadores;Atlético-MG;São Paulo;2:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Internacional;1:2;Leco (2015-2020)
Campeonato Brasileiro Série A;Coritiba;São Paulo;1:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Palmeiras;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Figueirense;São Paulo;1:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Cruzeiro;São Paulo;0:1;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Atlético-PR;1:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Vitória;2:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Flamengo;São Paulo;2:2;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Sport;0:0;Leco (2015-2020)
Campeonato Brasileiro Série A;Santos;São Paulo;3:0;Leco (2015-2020)
Campeonato Brasileiro Série A;São Paulo;Fluminense;2:1;Leco (2015-2020)
